Geo Code,Geo Name,Line Number
"433","Sherbrooke",1098785
"433000100","0001.00",1101032
"433000200","0002.00",1103279
"433000300","0003.00",1105526
"433000400","0004.00",1107773
"433000500","0005.00",1110020
"433000600","0006.00",1112267
"433000700","0007.00",1114514
"433000800","0008.00",1116761
"433000901","0009.01",1119008
"433000902","0009.02",1121255
"433001000","0010.00",1123502
"433001100","0011.00",1125749
"433001200","0012.00",1127996
"433001300","0013.00",1130243
"433001400","0014.00",1132490
"433001501","0015.01",1134737
"433001502","0015.02",1136984
"433001600","0016.00",1139231
"433001700","0017.00",1141478
"433001800","0018.00",1143725
"433001901","0019.01",1145972
"433001902","0019.02",1148219
"433010000","0100.00",1150466
"433011001","0110.01",1152713
"433011003","0110.03",1154960
"433011004","0110.04",1157207
"433011006","0110.06",1159454
"433011007","0110.07",1161701
"433011101","0111.01",1163948
"433011102","0111.02",1166195
"433011105","0111.05",1168442
"433011106","0111.06",1170689
"433011107","0111.07",1172936
"433011108","0111.08",1175183
"433011201","0112.01",1177430
"433011202","0112.02",1179677
"433011301","0113.01",1181924
"433011302","0113.02",1184171
"433020000","0200.00",1186418
"433020100","0201.00",1188665
"433020200","0202.00",1190912
"433030001","0300.01",1193159
"433030002","0300.02",1195406
"433040001","0400.01",1197653
"433040002","0400.02",1199900
"433040003","0400.03",1202147
"433040004","0400.04",1204394
"433040100","0401.00",1206641
"433040200","0402.00",1208888
"442","Trois-Rivières",1211135
"442000100","0001.00",1213382
"442000200","0002.00",1215629
"442000300","0003.00",1217876
"442000400","0004.00",1220123
"442000500","0005.00",1222370
"442000600","0006.00",1224617
"442000700","0007.00",1226864
"442000800","0008.00",1229111
"442000900","0009.00",1231358
"442001000","0010.00",1233605
"442001100","0011.00",1235852
"442001201","0012.01",1238099
"442001202","0012.02",1240346
"442001301","0013.01",1242593
"442001302","0013.02",1244840
"442001303","0013.03",1247087
"442010001","0100.01",1249334
"442010002","0100.02",1251581
"442010102","0101.02",1253828
"442010103","0101.03",1256075
"442010104","0101.04",1258322
"442010200","0102.00",1260569
"442020000","0200.00",1262816
"442020100","0201.00",1265063
"442020200","0202.00",1267310
"442020300","0203.00",1269557
"442020400","0204.00",1271804
"442020501","0205.01",1274051
"442020502","0205.02",1276298
"442020503","0205.03",1278545
"442021000","0210.00",1280792
"442021100","0211.00",1283039
"442021200","0212.00",1285286
"442021300","0213.00",1287533
"442030001","0300.01",1289780
"442030002","0300.02",1292027
"442030100","0301.00",1294274
"442030200","0302.00",1296521
"442030300","0303.00",1298768
"442030400","0304.00",1301015
"447","Drummondville",1303262
"447000101","0001.01",1305509
"447000102","0001.02",1307756
"447000200","0002.00",1310003
"447000300","0003.00",1312250
"447000400","0004.00",1314497
"447000500","0005.00",1316744
"447000600","0006.00",1318991
"447000700","0007.00",1321238
"447000800","0008.00",1323485
"447000900","0009.00",1325732
"447001000","0010.00",1327979
"447001100","0011.00",1330226
"447001200","0012.00",1332473
"447001300","0013.00",1334720
"447001400","0014.00",1336967
"447001500","0015.00",1339214
"447010000","0100.00",1341461
"447010100","0101.00",1343708
"447010200","0102.00",1345955
"447010300","0103.00",1348202
"447010400","0104.00",1350449
"447010500","0105.00",1352696
"447010600","0106.00",1354943
"447010700","0107.00",1357190
"450","Granby",1359437
"450000100","0001.00",1361684
"450000200","0002.00",1363931
"450000300","0003.00",1366178
"450000400","0004.00",1368425
"450000500","0005.00",1370672
"450000600","0006.00",1372919
"450000700","0007.00",1375166
"450000800","0008.00",1377413
"450000900","0009.00",1379660
"450001000","0010.00",1381907
"450001100","0011.00",1384154
"450001200","0012.00",1386401
"450001300","0013.00",1388648
"450001400","0014.00",1390895
"450001500","0015.00",1393142
"450001600","0016.00",1395389
"450010000","0100.00",1397636
