OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,ASSET_NAME,OBJECTID_1,ACREAGE,ACREAGE_1,AREA,PERCENTAGE
144,138,39.960220000000000,-75.173680000000004,0,0,Former BSA Building,1070,0.154628280000000,0.028881363686748,0.037597895256935,0.093069223532235
145,138,39.960220000000000,-75.173680000000004,0,0,Logan Square,1024,9.209228050000000,0.034435250341123,0.044827515347212,0.110965308502871
146,138,39.960220000000000,-75.173680000000004,0,0,Park Towne,980,3.687199170000000,0.396390598676656,0.516046080835558,1.277412145600351
147,138,39.960220000000000,-75.173680000000004,0,0,Rodin Museum,240,4.190618850000000,2.934100280242377,3.819788442181722,9.455442703423325
148,138,39.960220000000000,-75.173680000000004,0,0,Rodin Museum Building,436,0.142317950000000,0.121430283839104,0.158085796167142,0.391323030191094
149,138,39.960220000000000,-75.173680000000004,0,0,Shakespeare Park,1152,1.183946240000000,0.034434843311546,0.044827515347212,0.110965308502871
150,138,39.960220000000000,-75.173680000000004,0,0,Winter Street,1009,1.607994450000000,0.952093560425760,1.239443773682585,3.068099127363381
151,139,39.944130000000001,-75.142080000000007,1,0,Foglietta Plaza,313,2.056976600000000,2.056976607147389,2.677227599263037,6.628700787076987
152,139,39.944130000000001,-75.142080000000007,1,0,I-95 Park,428,12.845365760000000,5.845408159352020,7.607802196943307,18.836592161490490
153,139,39.944130000000001,-75.142080000000007,1,0,I-95 Park Electric Utilities Building 1,505,0.003206350000000,0.003206338764738,0.004173143592369,0.010332524669525
154,139,39.944130000000001,-75.142080000000007,1,0,I-95 Park Electric Utilities Building 2,506,0.003003090000000,0.003003131768174,0.003908664195889,0.009677685019697
155,139,39.944130000000001,-75.142080000000007,1,0,I-95 Park Electric Utilities Building 3,507,0.003059750000000,0.003059700189833,0.003982284331681,0.009859965320485
156,139,39.944130000000001,-75.142080000000007,1,0,I-95 Park Electric Utilities Building 4,508,0.003254730000000,0.003254682481016,0.004236064384328,0.010488313853567
157,139,39.944130000000001,-75.142080000000007,1,0,I-95 Park Electric Utilities Building 5,509,0.003091530000000,0.003091564929529,0.004023759816699,0.009962656843709
158,139,39.944130000000001,-75.142080000000007,1,0,I-95 Park Electric Utilities Building 6,510,0.003336400000000,0.003336484347021,0.004342528031283,0.010751913280288
159,139,39.944130000000001,-75.142080000000007,1,0,I-95 Park Toilet Building,511,0.041429900000000,0.041430074185860,0.053922663545386,0.133510203758165
160,139,39.944130000000001,-75.142080000000007,1,0,Korean War Veteran's Memorial,1005,1.308608340000000,1.308608291612391,1.703202732147872,4.217056963796461
161,139,39.944130000000001,-75.142080000000007,1,0,Vietnam Memorial,1006,1.979563150000000,1.979562767972251,2.576435720640766,6.379144415650692
162,143,39.956449999999997,-75.164469999999994,1,0,Benjamin Franklin Parkway,1033,64.509472470000006,0.162302553780083,0.211293514143444,0.523060931479248
163,143,39.956449999999997,-75.164469999999994,1,0,Cret Park,1011,1.121917470000000,0.162315923766965,0.211293514143444,0.523060931479248
164,143,39.956449999999997,-75.164469999999994,1,0,Vine Street Park,1372,11.868121490000000,0.323248525427542,0.420797533520913,1.041691936167023
165,144,39.931620000000002,-75.157849999999996,0,0,"Louis P. Paolone, Sr. Park",419,0.089513350000000,0.089513513729550,0.116483900579684,0.288461060096234
166,144,39.931620000000002,-75.157849999999996,0,0,"Louis P. Paolone, Sr. Park Garden",1356,0.001255940000000,0.001255989590579,0.001634416127887,0.004047472711186
