FID,Row_Labels,Average_of,Average__1,Comm
768,1193,42.330710000000003,-71.063100000000006,1
770,1196,42.331650000000003,-71.096140000000005,1
773,1199,42.348089999999999,-71.088130000000007,1
774,1200,42.284489999999998,-71.125129999999999,1
775,1204,42.268859999999997,-71.096029999999999,1
783,1225,42.349570000000000,-71.086039999999997,1
785,1227,42.344389999999997,-71.103790000000004,1
788,1231,42.344909999999999,-71.100989999999996,1
791,1236,42.286969999999997,-71.043310000000005,1
796,1243,42.348869999999998,-71.038979999999995,1
797,1244,42.277169999999998,-71.166960000000003,1
804,1252,42.357579999999999,-71.057329999999993,1
807,1258,42.281410000000001,-71.133539999999996,1
808,1261,42.270280000000000,-71.120609999999999,1
809,1262,42.356900000000003,-71.055750000000003,1
810,1263,42.348750000000003,-71.085639999999998,1
811,1264,42.350499999999997,-71.082570000000004,1
812,1265,42.305909999999997,-71.114869999999996,1
816,1270,42.282029999999999,-71.071259999999995,1
817,1271,42.346890000000002,-71.089230000000001,1
823,1282,42.357999999999997,-71.060460000000006,1
824,1283,42.237229999999997,-71.131889999999999,1
825,1284,42.286450000000002,-71.128129999999999,1
829,1289,42.350670000000001,-71.075209999999998,1
831,1291,42.326770000000003,-71.066810000000004,1
835,1297,42.354649999999999,-71.054659999999998,1
