OBJECTID,Row_Labels,Average_of,Average__1,Comm,ACRES,SITE_NAME,OBJECTID_1,ACRES_1,AREA,PERCENTAGE
132,25,42.348709999999997,-71.071730000000002,0,0.289326010000000,Copley Place Plaza,8258,0.010035902109640,0.013543382614632,0.008083149847069
133,25,42.348709999999997,-71.071730000000002,0,1.190000000000000,Castle Square Parks,8631,0.021587349709703,0.029116719648605,0.017377845304356
134,25,42.348709999999997,-71.071730000000002,0,1.854288210000000,Copley Square Park,7864,0.808184601763210,1.090668846642818,0.650948139899654
135,25,42.348709999999997,-71.071730000000002,0,23.510000000000002,Public Garden,7858,0.028136233178599,0.037967190612119,0.022660106394575
136,25,42.348709999999997,-71.071730000000002,0,47.680000000000000,Southwest Corridor Park,8789,0.038812638274667,0.053226625375045,0.031767454335631
137,27,42.349919999999997,-71.086219999999997,0,0.147170630000000,Belvidere/Dalton Plaza,8587,0.030213558044497,0.045696136803514,0.027272486292200
138,27,42.349919999999997,-71.086219999999997,0,1.090000000000000,Prudential Center Plaza II,8389,1.089999487365702,1.474138648105116,0.879799232178370
139,27,42.349919999999997,-71.086219999999997,0,10.869999999999999,Commonwealth Avenue Mall I,8527,4.736823506008268,6.392800580372445,3.815367739873581
140,27,42.349919999999997,-71.086219999999997,0,171.689999999999998,Charles River Reservation,8770,4.746236242704707,6.406257439862872,3.823399097481923
141,28,42.346269999999997,-71.042169999999999,0,0.200000000000000,Williams Tunnel Portal Park,8539,0.200000195752824,0.268259608890303,0.160112550385655
142,28,42.346269999999997,-71.042169999999999,0,0.460000000000000,Podium Plaza,8538,0.459999485992048,0.622260124049815,0.371400136893705
143,28,42.346269999999997,-71.042169999999999,0,0.880000000000000,South Boston Maritime Park,8333,0.880000872879959,1.182944996279967,0.706048670926777
144,28,42.346269999999997,-71.042169999999999,0,1.150000000000000,Eastport Park,8332,1.149999984202958,1.552282373432039,0.926490166585368
145,28,42.346269999999997,-71.042169999999999,0,1.240000000000000,Marine Industrial Park Entrance I,8268,0.287007399828085,0.389201115896134,0.232297301620817
146,29,42.248550000000002,-71.126959999999997,0,0.370130970000000,Mother Brook I,8215,0.370130418450066,0.498737648596223,0.298130404110234
147,29,42.248550000000002,-71.126959999999997,0,0.390000000000000,Blake Estates Urban Wild II,8828,0.191426998869659,0.233840121055947,0.139782609120886
148,29,42.248550000000002,-71.126959999999997,0,0.448679410000000,Amatucci Playground,7960,0.448679156429426,0.627701291343331,0.375221000811609
149,29,42.248550000000002,-71.126959999999997,0,1.220000000000000,Blake Estates Urban Wild I,8583,0.786765621111865,1.050388959946519,0.627891008395302
