FID,Row_Labels,Average_of,Average__1,comm,ind
288,427,39.961720000000000,-75.156130000000005,0,0
289,428,40.037219999999998,-75.062939999999998,1,0
290,429,40.030029999999996,-75.102950000000007,0,0
291,430,39.900030000000001,-75.250230000000002,0,0
292,431,39.939059999999998,-75.166489999999996,1,0
293,432,39.931310000000003,-75.174760000000006,0,0
294,433,39.974400000000003,-75.123390000000001,0,0
295,437,39.940820000000002,-75.172690000000003,0,0
296,438,39.998040000000003,-75.125380000000007,0,1
297,439,39.948990000000002,-75.170910000000006,1,0
298,440,39.883699999999997,-75.251469999999998,0,1
299,441,39.992719999999998,-75.145120000000006,1,0
300,442,39.967109999999998,-75.160979999999995,1,0
301,445,39.964779999999998,-75.169100000000000,0,0
302,446,39.953000000000003,-75.181889999999996,1,0
303,447,39.969960000000000,-75.143090000000001,0,0
304,448,39.973619999999997,-75.208900000000000,0,1
305,449,39.984139999999996,-75.188050000000004,0,0
306,451,39.958260000000003,-75.167280000000005,1,0
307,454,39.959890000000001,-75.193799999999996,0,0
308,455,39.950589999999998,-75.161779999999993,1,0
309,456,40.008069999999996,-75.072950000000006,0,1
310,457,39.955950000000001,-75.204780000000000,1,0
311,459,39.948419999999999,-75.166200000000003,1,0
312,460,39.961359999999999,-75.175060000000002,0,0
313,462,40.030310000000000,-75.085040000000006,0,0
314,463,39.977300000000000,-75.226950000000002,1,1
315,464,40.036819999999999,-75.040729999999996,0,0
316,465,40.035069999999997,-75.069739999999996,1,0
317,466,39.948799999999999,-75.169340000000005,1,0
318,469,39.945099999999996,-75.161389999999997,0,0
319,472,39.915480000000002,-75.176019999999994,0,0
320,473,39.934260000000002,-75.187830000000005,0,1
321,478,39.933340000000001,-75.143479999999997,0,0
322,480,39.984839999999998,-75.237240000000000,0,1
323,481,39.961829999999999,-75.157629999999997,0,0
324,482,39.957140000000003,-75.214330000000004,0,0
325,484,39.946320000000000,-75.197040000000001,1,0
326,485,39.922289999999997,-75.153450000000007,0,0
327,486,39.971200000000003,-75.157290000000003,1,0
328,488,39.993940000000002,-75.154560000000004,0,1
329,489,39.997750000000003,-75.123210000000000,0,1
330,490,39.938760000000002,-75.153059999999996,0,0
331,496,39.923650000000002,-75.179659999999998,0,0
332,499,39.972630000000002,-75.144459999999995,0,0
333,502,39.947580000000002,-75.169600000000003,0,0
334,504,39.945259999999998,-75.170109999999994,0,0
335,505,39.956710000000001,-75.198340000000002,1,0
336,506,39.950009999999999,-75.157060000000001,1,0
337,507,39.955060000000003,-75.210049999999995,0,0
338,508,39.948039999999999,-75.190629999999999,1,1
339,509,39.894460000000002,-75.246769999999998,0,0
340,510,39.944940000000003,-75.148449999999997,0,0
341,512,39.933079999999997,-75.159340000000000,0,0
342,513,39.950319999999998,-75.191689999999994,0,0
343,514,39.930740000000000,-75.180099999999996,0,0
344,515,39.961539999999999,-75.197059999999993,0,0
345,517,39.947560000000003,-75.159220000000005,1,0
346,518,39.974330000000002,-75.194800000000001,0,0
347,520,39.941580000000002,-75.142250000000004,1,0
348,521,39.956730000000000,-75.223540000000000,1,0
349,523,39.951239999999999,-75.198960000000000,0,0
350,524,39.975610000000003,-75.262810000000002,0,0
351,525,39.919390000000000,-75.170779999999993,0,0
352,527,39.946550000000002,-75.173069999999996,0,0
353,529,39.950200000000002,-75.158640000000005,1,0
354,530,39.917180000000002,-75.246309999999994,0,1
355,531,39.954580000000000,-75.181229999999999,1,1
356,532,39.957599999999999,-75.189070000000001,1,0
357,533,39.959890000000001,-75.175389999999993,0,0
358,535,39.903449999999999,-75.158429999999996,0,1
359,536,39.944830000000003,-75.175060000000002,0,0
360,537,39.949820000000003,-75.155490000000000,1,0
361,539,39.948749999999997,-75.179000000000002,0,0
362,545,39.978569999999998,-75.114769999999993,0,1
363,546,39.932929999999999,-75.167820000000006,0,0
364,547,39.953620000000001,-75.198459999999997,1,0
365,548,39.941220000000001,-75.175839999999994,0,0
366,549,39.942790000000002,-75.158640000000005,0,0
367,551,39.957259999999998,-75.152240000000006,1,0
368,552,39.936380000000000,-75.153589999999994,0,0
369,553,39.950139999999998,-75.170659999999998,1,0
370,555,39.923009999999998,-75.188659999999999,0,1
371,556,39.975180000000002,-75.188599999999994,0,0
372,558,39.960360000000001,-75.138890000000004,1,0
373,560,39.929560000000002,-75.190470000000005,0,0
374,561,40.036070000000002,-75.087860000000006,0,1
375,562,39.921199999999999,-75.193839999999994,0,1
376,563,39.913530000000002,-75.239630000000005,0,0
377,564,39.938389999999998,-75.161220000000000,0,1
378,565,39.993079999999999,-75.147890000000004,0,0
379,566,39.941020000000002,-75.167810000000003,0,0
380,567,39.951799999999999,-75.182710000000000,1,0
381,568,39.914839999999998,-75.155980000000000,1,0
382,569,39.984760000000001,-75.116669999999999,0,1
383,570,39.894629999999999,-75.236710000000002,0,1
384,571,39.952570000000001,-75.156509999999997,1,0
385,572,39.962719999999997,-75.246570000000006,0,0
386,573,39.958080000000002,-75.162360000000007,1,0
387,574,39.916829999999997,-75.171350000000004,0,0
388,575,39.958120000000001,-75.150459999999995,0,0
389,576,39.962960000000002,-75.202219999999997,0,0
390,577,39.960450000000002,-75.241079999999997,0,0
391,582,40.027780000000000,-75.098590000000002,0,0
392,583,39.924050000000001,-75.143490000000000,1,1
393,584,39.954900000000002,-75.208770000000001,0,0
394,585,39.938170000000000,-75.154790000000006,0,0
395,586,40.028970000000001,-75.100399999999993,0,0
396,587,39.939880000000002,-75.183149999999998,0,1
397,588,39.951659999999997,-75.165480000000002,1,0
398,589,39.933439999999997,-75.191239999999993,1,0
399,592,39.928150000000002,-75.160210000000006,1,0
400,593,39.959190000000000,-75.243369999999999,0,0
401,594,39.961260000000003,-75.234740000000002,1,0
402,595,40.025820000000003,-75.122129999999999,1,0
403,596,39.961430000000000,-75.149829999999994,0,0
404,597,39.937800000000003,-75.153499999999994,0,0
405,598,39.970579999999998,-75.152580000000000,0,0
406,599,39.921630000000000,-75.148340000000005,1,0
407,600,39.924129999999998,-75.245480000000001,0,0
408,602,39.946089999999998,-75.242059999999995,0,0
409,603,39.942509999999999,-75.163539999999998,0,0
410,606,39.930979999999998,-75.191770000000005,0,0
411,608,39.945059999999998,-75.168530000000004,0,0
412,609,39.963110000000000,-75.179119999999998,0,0
413,610,39.944049999999997,-75.168750000000003,0,0
414,612,39.947980000000001,-75.172759999999997,0,0
415,614,39.949629999999999,-75.160409999999999,1,0
416,616,39.944310000000002,-75.155079999999998,0,0
417,617,39.957870000000000,-75.175830000000005,0,0
418,618,39.946849999999998,-75.144409999999993,1,0
419,621,39.938850000000002,-75.174750000000003,0,1
420,624,39.951270000000001,-75.167180000000002,1,0
421,625,39.944659999999999,-75.180779999999999,0,0
422,627,39.934289999999997,-75.158869999999993,0,0
423,628,39.939120000000003,-75.191659999999999,0,1
424,629,39.997250000000001,-75.119330000000005,0,0
425,631,39.957259999999998,-75.215310000000002,0,0
426,632,39.952759999999998,-75.149929999999998,1,0
427,635,39.936489999999999,-75.148690000000002,0,0
428,638,39.958860000000001,-75.217050000000000,0,0
429,640,39.976579999999998,-75.152879999999996,0,0
430,641,39.932020000000001,-75.160910000000001,1,0
431,643,39.952530000000003,-75.170150000000007,1,0
432,644,39.948210000000003,-75.164510000000007,1,0
433,645,39.959919999999997,-75.222870000000000,1,0
434,646,39.972830000000002,-75.146079999999998,0,0
435,647,39.945110000000000,-75.141930000000002,1,0
436,648,39.963250000000002,-75.167820000000006,0,0
437,651,39.951639999999998,-75.163870000000003,1,0
438,652,39.953749999999999,-75.157870000000003,1,0
439,653,39.961329999999997,-75.236840000000001,0,1
440,654,40.030600000000000,-75.187569999999994,0,0
441,655,40.034329999999997,-75.071370000000002,1,0
442,657,39.938519999999997,-75.151499999999999,0,0
443,659,39.925500000000000,-75.188119999999998,0,1
444,661,39.962409999999998,-75.161420000000007,1,0
445,665,39.948729999999998,-75.172600000000003,0,0
446,666,39.938899999999997,-75.183359999999993,0,1
447,668,39.947319999999998,-75.179320000000004,0,0
448,671,39.913150000000002,-75.243189999999998,1,1
449,672,39.948169999999998,-75.221260000000001,0,0
450,673,39.957839999999997,-75.164180000000002,1,0
451,675,40.040450000000000,-75.065560000000005,1,0
452,676,39.960850000000001,-75.143400000000000,0,0
453,677,39.925179999999997,-75.171260000000004,1,0
454,678,39.984229999999997,-75.099029999999999,1,1
455,679,39.949849999999998,-75.205770000000001,0,0
456,680,39.967390000000002,-75.128919999999994,0,0
457,681,40.039459999999998,-75.060019999999994,0,0
458,682,39.947749999999999,-75.160809999999998,1,0
459,684,39.943539999999999,-75.246650000000002,0,0
460,685,39.959110000000003,-75.158310000000000,0,1
461,686,39.955399999999997,-75.171130000000005,1,0
462,687,39.952880000000000,-75.212180000000004,0,0
463,689,40.030119999999997,-75.035169999999994,0,0
464,692,39.960079999999998,-75.226889999999997,1,0
465,693,39.910699999999999,-75.165649999999999,0,0
466,696,39.940939999999998,-75.150850000000005,0,0
467,697,39.962499999999999,-75.173180000000002,1,0
468,698,39.954599999999999,-75.173010000000005,1,0
469,699,39.989800000000002,-75.103899999999996,1,1
470,703,39.947899999999997,-75.152670000000001,1,0
471,704,39.955570000000002,-75.180480000000003,1,1
472,708,39.938659999999999,-75.173159999999996,0,1
473,709,39.949390000000001,-75.174070000000000,0,0
474,710,39.940359999999998,-75.236609999999999,0,0
475,713,39.945700000000002,-75.195189999999997,1,1
476,714,39.960140000000003,-75.224850000000004,1,0
477,715,40.012369999999997,-75.150530000000003,0,0
478,716,39.958669999999998,-75.213880000000003,0,0
479,718,39.945340000000002,-75.151619999999994,0,0
480,719,39.980110000000003,-75.116150000000005,0,1
481,720,39.956650000000003,-75.197819999999993,1,0
482,722,39.958480000000002,-75.214050000000000,0,0
483,723,39.949919999999999,-75.143739999999994,0,0
484,724,40.035260000000001,-75.069980000000001,1,0
485,725,39.935780000000001,-75.156260000000003,0,0
486,726,39.950159999999997,-75.249369999999999,0,0
487,727,39.958840000000002,-75.206270000000004,1,0
488,729,39.949080000000002,-75.212900000000005,0,0
489,730,39.947710000000001,-75.151100000000000,1,0
490,731,39.990229999999997,-75.186729999999997,0,0
491,732,39.939290000000000,-75.178240000000002,0,1
492,734,39.933630000000001,-75.145690000000002,0,0
493,736,39.996139999999997,-75.147080000000003,0,0
494,737,39.948929999999997,-75.215010000000007,0,0
495,738,40.039540000000002,-75.060140000000004,0,0
496,740,39.969709999999999,-75.174890000000005,0,0
497,742,39.958240000000004,-75.223219999999998,1,0
498,743,39.960810000000002,-75.156329999999997,0,0
499,744,39.957140000000003,-75.151100000000000,0,0
500,745,39.946710000000003,-75.162629999999993,1,0
501,747,39.960599999999999,-75.170000000000002,1,0
502,750,39.949800000000003,-75.207149999999999,0,0
503,753,39.961990000000000,-75.240639999999999,0,0
504,754,39.987229999999997,-75.108779999999996,0,0
505,755,39.934809999999999,-75.179220000000001,0,0
506,756,39.979340000000001,-75.138760000000005,0,0
507,757,39.961799999999997,-75.240799999999993,0,0
508,762,39.949590000000001,-75.199669999999998,0,0
509,764,39.963050000000003,-75.166240000000002,0,0
510,765,40.005200000000002,-75.178730000000002,0,1
511,767,39.943379999999998,-75.163349999999994,0,0
512,771,39.962949999999999,-75.140960000000007,0,0
513,772,39.932209999999998,-75.152889999999999,0,0
514,775,39.972119999999997,-75.251440000000002,0,0
515,777,39.973250000000000,-75.212209999999999,0,1
516,778,39.994660000000003,-75.147459999999995,0,0
517,779,39.957189999999997,-75.158730000000006,1,0
518,780,40.035380000000004,-75.069609999999997,1,0
519,781,39.953490000000002,-75.139880000000005,1,0
520,782,39.950679999999998,-75.168930000000003,1,0
521,784,40.037970000000001,-75.088690000000000,0,0
522,785,39.954639999999998,-75.149510000000006,1,0
523,786,39.974679999999999,-75.199340000000007,0,1
524,787,39.940170000000002,-75.200699999999998,0,1
525,789,39.967520000000000,-75.148690000000002,0,0
526,790,39.953539999999997,-75.185280000000006,0,1
527,791,39.965159999999997,-75.160799999999995,1,0
528,793,39.978670000000001,-75.157870000000003,1,0
529,794,39.951920000000001,-75.159909999999996,1,0
530,798,39.939639999999997,-75.198120000000003,1,1
531,799,40.042400000000001,-75.226270000000000,0,0
532,802,39.960700000000003,-75.243060000000000,0,0
533,803,39.957799999999999,-75.160210000000006,1,0
534,804,39.954439999999998,-75.205100000000002,0,0
535,808,39.963099999999997,-75.189949999999996,0,1
536,812,39.933239999999998,-75.160719999999998,0,0
537,814,39.926710000000000,-75.187860000000001,0,1
538,815,39.951860000000003,-75.171920000000000,1,0
539,816,40.041829999999997,-75.192099999999996,0,0
540,817,39.944490000000002,-75.144930000000002,0,0
541,818,39.979309999999998,-75.162700000000001,0,0
542,819,39.951610000000002,-75.163979999999995,1,0
543,821,39.960030000000003,-75.192560000000000,0,0
544,823,39.910730000000001,-75.185990000000004,0,0
545,824,39.946829999999999,-75.235789999999994,0,0
546,826,40.033679999999997,-75.046790000000001,0,0
547,828,39.957670000000000,-75.174229999999994,0,0
548,829,39.924999999999997,-75.174520000000001,0,1
549,832,39.934179999999998,-75.158209999999997,0,0
550,833,39.942749999999997,-75.161900000000003,0,0
551,836,39.933390000000003,-75.181160000000006,0,0
552,838,39.961570000000002,-75.152940000000001,0,0
553,839,39.959220000000002,-75.231120000000004,0,1
554,840,39.955629999999999,-75.214640000000003,0,0
