FID,Row_Labels,Average_of,Average__1,Comm,industry
514,787,42.358449999999998,-71.158169999999998,1,0
515,788,42.316609999999997,-71.103129999999993,0,1
516,789,42.322899999999997,-71.076679999999996,0,0
517,790,42.360950000000003,-71.061279999999996,0,0
518,793,42.292040000000000,-71.047680000000000,1,0
519,795,42.309049999999999,-71.073859999999996,0,1
520,797,42.352249999999998,-71.069180000000003,0,0
521,798,42.286149999999999,-71.154880000000006,1,0
522,799,42.320729999999998,-71.056770000000000,0,0
523,800,42.349570000000000,-71.047190000000001,1,1
524,802,42.340229999999998,-71.105890000000002,0,0
525,804,42.312179999999998,-71.093549999999993,0,0
526,806,42.300919999999998,-71.112849999999995,1,1
527,807,42.326120000000003,-71.075370000000007,1,1
528,808,42.350140000000003,-71.130859999999998,1,0
529,811,42.351799999999997,-71.043379999999999,1,0
530,812,42.265140000000002,-71.099149999999995,0,0
531,813,42.301769999999998,-71.114469999999997,0,0
532,814,42.319099999999999,-71.086029999999994,0,0
533,816,42.345089999999999,-71.031829999999999,0,1
534,817,42.348599999999998,-71.075379999999996,0,0
535,820,42.313899999999997,-71.119479999999996,0,0
536,821,42.350639999999999,-71.061509999999998,0,0
537,825,42.312770000000000,-71.058880000000002,1,0
538,826,42.349170000000001,-71.084130000000002,1,0
539,827,42.353619999999999,-71.056190000000001,1,0
540,828,42.335700000000003,-71.087029999999999,0,0
541,831,42.351430000000001,-71.052859999999995,1,1
542,832,42.349800000000002,-71.148049999999998,0,0
543,834,42.349429999999998,-71.149000000000001,1,0
544,835,42.321599999999997,-71.112089999999995,1,0
545,839,42.337000000000003,-71.109290000000001,1,0
546,842,42.348080000000003,-71.069180000000003,1,0
547,843,42.353439999999999,-71.076570000000004,0,0
548,844,42.271700000000003,-71.093729999999994,1,0
549,846,42.278739999999999,-71.079840000000004,0,0
550,848,42.336970000000001,-71.093660000000000,1,0
551,849,42.296390000000002,-71.080460000000002,0,0
552,851,42.371940000000002,-71.033919999999995,0,0
553,852,42.374519999999997,-71.033420000000007,0,0
554,854,42.278829999999999,-71.069509999999994,1,0
