OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,OBJECTID_1,ASSET_NAME,ACREAGE,ACREAGE_1,AREA,PERCENTAGE
133,34,39.939180000000000,-75.149730000000005,0,0,391,Edward Shippen Plaza/Bainbridge Green,0.348398460000000,0.348398688806305,0.453426183178472,0.280594140199179
134,34,39.939180000000000,-75.149730000000005,0,0,421,Beck Park,0.074275520000000,0.016200817753463,0.021083389858555,0.013047053455043
135,34,39.939180000000000,-75.149730000000005,0,0,496,Weccacoe Playground Building,0.062378930000000,0.062378875697281,0.081180119287151,0.050236767565933
136,35,39.965660000000000,-75.132270000000005,0,0,167,Penn Treaty Park,8.160449190000000,7.746793228768557,10.085901179250806,6.239089710323030
137,41,39.950940000000003,-75.152000000000001,1,0,117,Washington Square,7.188231450000000,1.982724631510513,2.580674583472127,1.596731068670815
138,41,39.950940000000003,-75.152000000000001,1,0,378,Atwater Kent Museum,0.444489940000000,0.444489100939927,0.578564654115184,0.357973130117618
139,41,39.950940000000003,-75.152000000000001,1,0,516,Atwater Kent Museum Building,0.148192610000000,0.148192840904873,0.192893858373215,0.119348490736832
140,41,39.950940000000003,-75.152000000000001,1,0,1309,Ben-Gurion Place,0.387166130000000,0.343580684003092,0.447224766470821,0.276709695936261
141,43,39.985790000000001,-75.111559999999997,0,0,212,Cohocksink Recreation Center,5.116619660000000,5.116619399834223,6.663306989887088,4.120694610930469
142,43,39.985790000000001,-75.111559999999997,0,0,352,Trenton & Auburn Playground,0.808204120000000,0.014168389840129,0.018451914533169,0.011410956285457
143,43,39.985790000000001,-75.111559999999997,0,0,620,Cohocksink Recreation Center Building,0.257187680000000,0.257187516091136,0.334932359792848,0.207127477710283
144,44,39.942010000000003,-75.152339999999995,0,0,309,Starr Garden Playground,2.166848140000000,2.166845261574359,2.820146977946911,1.745123109067048
145,44,39.942010000000003,-75.152339999999995,0,0,366,Cianfrani Park,0.608773820000000,0.608773674813803,0.792293475715749,0.490275742522181
146,44,39.942010000000003,-75.152339999999995,0,0,391,Edward Shippen Plaza/Bainbridge Green,0.348398460000000,0.321321216327126,0.418185996028457,0.258775890499428
147,44,39.942010000000003,-75.152339999999995,0,0,412,"Frank Palumbo, Sr. Park",0.201635110000000,0.008706834927058,0.011331342275061,0.007011899527078
148,44,39.942010000000003,-75.152339999999995,0,0,503,Starr Garden Playground Building,0.081968890000000,0.081969074885574,0.106682733788933,0.066015886948222
149,44,39.942010000000003,-75.152339999999995,0,0,1327,South Street Community Garden,0.205610960000000,0.205610920810534,0.267602061407701,0.165593688927709
150,46,39.937849999999997,-75.174970000000002,0,1,290,"Charles H. Chew, Sr. Playground",2.798553960000000,2.798553961915952,3.642070475594773,2.253868934269848
151,46,39.937849999999997,-75.174970000000002,0,1,495,"Charles H. Chew, Sr. Playground Building",0.057040710000000,0.057040733102970,0.074233176179864,0.045938663407290
152,46,39.937849999999997,-75.174970000000002,0,1,1351,"Charles H. Chew, Sr. Playground Garden",0.025111020000000,0.025111033515991,0.032679669736911,0.020223576917521
153,47,39.958089999999999,-75.209410000000005,1,0,58,45th & Sansom Tot Lot,0.130736940000000,0.130736819146805,0.170187096486865,0.105288385499265
154,47,39.958089999999999,-75.209410000000005,1,0,433,John A. Lee Recreation Center Building 1,0.046277400000000,0.017926480740606,0.023337733255136,0.014438181897271
155,47,39.958089999999999,-75.209410000000005,1,0,526,John A. Lee Recreation Center Building 2,0.053146660000000,0.044753791624146,0.058263066557535,0.036045178152226
156,47,39.958089999999999,-75.209410000000005,1,0,1167,John A. Lee Recreation Center,9.738613839999999,4.437907552293588,5.777528059491654,3.574340323783176
157,48,39.932209999999998,-75.191509999999994,1,0,237,Vare Recreation Center,4.107693920000000,4.107695215827865,5.345258333766270,3.308142757214061
158,48,39.932209999999998,-75.191509999999994,1,0,478,Vare Recreation Center Building,0.297065620000000,0.297065873922858,0.386565274685641,0.239242527449691
159,48,39.932209999999998,-75.191509999999994,1,0,1003,Lanier Park,4.119986350000000,4.119987641102313,5.361396598145991,3.318130615440580
160,48,39.932209999999998,-75.191509999999994,1,0,1355,Vare Recreation Center Garden,0.023681460000000,0.023681495551578,0.030816402770942,0.019072054756660
161,52,39.982120000000002,-75.148430000000005,0,1,210,11th & Cecil B. Moore Playground,5.181687050000000,0.315522957889523,0.410869045312258,0.254101363609514
162,52,39.982120000000002,-75.148430000000005,0,1,356,8th & Diamond Playground,0.719323030000000,0.719322256444038,0.936752162635035,0.579333012806605
163,52,39.982120000000002,-75.148430000000005,0,1,612,8th & Diamond Playground Building,0.083942450000000,0.083942233046230,0.109315856999017,0.067606232799753
164,54,39.970390000000002,-75.146540000000002,0,0,219,Narcissa S. Cruz Recreation Center,4.809898730000000,3.742696279120943,4.873306453487170,3.014398537764704
165,54,39.970390000000002,-75.146540000000002,0,0,280,East Poplar Field,3.081339940000000,2.892605329355252,3.766153366252188,2.329565626250452
166,54,39.970390000000002,-75.146540000000002,0,0,410,Thomas Hart Park,0.215534560000000,0.200538106117285,0.261110911525743,0.161510948964515
167,54,39.970390000000002,-75.146540000000002,0,0,567,Narcissa S. Cruz Recreation Center Building,0.263751300000000,0.263751008103569,0.343424500182505,0.212426269733550
168,56,39.945270000000001,-75.178579999999997,0,0,358,Fitler Square,0.720029610000000,0.720029656011401,0.937183727924739,0.579907455591428
169,56,39.945270000000001,-75.178579999999997,0,0,389,James O'Connor Memorial Pool,0.373647960000000,0.051878541243422,0.067523083976651,0.041781711158488
170,56,39.945270000000001,-75.178579999999997,0,0,426,22nd & Catharine Park,0.046244320000000,0.046244129253654,0.060186227030048,0.037241835019831
171,56,39.945270000000001,-75.178579999999997,0,0,1057,James O'Connor Memorial Pool Building 1,0.015330860000000,0.008049127438721,0.010476414813544,0.006482561398815
172,56,39.945270000000001,-75.178579999999997,0,0,1340,Fitler Square Building,0.002619720000000,0.002619753149849,0.003409853542288,0.002109937926501
173,57,39.946489999999997,-75.237269999999995,1,0,278,Albert W. Christy Recreation Center,3.154905350000000,2.902304401448234,3.777672905227253,2.337494950972737
174,57,39.946489999999997,-75.237269999999995,1,0,325,Sherwood Park,1.647454990000000,1.647453887224984,2.144278132463057,1.326806061260120
175,57,39.946489999999997,-75.237269999999995,1,0,512,Albert W. Christy Recreation Center Building,0.330184520000000,0.330184691349984,0.429772466977549,0.265928521825445
176,58,39.941090000000003,-75.182879999999997,0,1,399,Julian Abele Park,0.286051990000000,0.286052174914202,0.372286230764521,0.230375894636865
177,58,39.941090000000003,-75.182879999999997,0,1,426,22nd & Catharine Park,0.046244320000000,0.046244129253654,0.060186227030048,0.037244073916972
178,60,39.942599999999999,-75.157049999999998,0,0,277,Frank Palumbo Recreation Center,3.221027890000000,3.221028335754327,4.192073483878301,2.594057013735002
179,60,39.942599999999999,-75.157049999999998,0,0,309,Starr Garden Playground,2.166848140000000,1.965438869058859,2.558016756068912,1.582901953615863
180,60,39.942599999999999,-75.157049999999998,0,0,318,Seger Park Playground,1.911304920000000,1.911305967470027,2.487591305440830,1.539322652143740
181,60,39.942599999999999,-75.157049999999998,0,0,366,Cianfrani Park,0.608773820000000,0.608773674813803,0.792293475715749,0.490271569790208
182,60,39.942599999999999,-75.157049999999998,0,0,385,Louis I. Kahn Park,0.388319530000000,0.359507923607314,0.467915294795469,0.289546201173725
183,60,39.942599999999999,-75.157049999999998,0,0,412,"Frank Palumbo, Sr. Park",0.201635110000000,0.162374867674972,0.211319637722188,0.130764689712938
184,60,39.942599999999999,-75.157049999999998,0,0,500,Frank Palumbo Recreation Center Building,0.305145690000000,0.305145795053745,0.397137772783048,0.245749037765882
185,60,39.942599999999999,-75.157049999999998,0,0,503,Starr Garden Playground Building,0.081968890000000,0.064758511559187,0.084283189225698,0.052154476535703
186,60,39.942599999999999,-75.157049999999998,0,0,504,Seger Park Playground Building,0.033067010000000,0.033066964165092,0.043037229480077,0.026631457538581
187,60,39.942599999999999,-75.157049999999998,0,0,1043,Seger Dog Park,0.168994460000000,0.168994442772491,0.219948372360379,0.136104154704174
188,60,39.942599999999999,-75.157049999999998,0,0,1313,Waverly Street Community Garden,0.092752970000000,0.027561871934358,0.035872731470590,0.022198062851471
189,60,39.942599999999999,-75.157049999999998,0,0,1327,South Street Community Garden,0.205610960000000,0.205610920810534,0.267602061407701,0.165592279561468
190,62,39.923279999999998,-75.181719999999999,0,0,241,Girard Estates Park,4.020306000000000,3.624289580780295,4.715453337865985,2.918735514643596
191,62,39.923279999999998,-75.181719999999999,0,0,466,Stephen Girard Smokehouse,0.008587560000000,0.008587562900196,0.011172981801179,0.006915767467296
192,62,39.923279999999998,-75.181719999999999,0,0,467,Gentilhommiere,0.048136450000000,0.048136261763075,0.062628479983604,0.038765301161694
