OBJECTID,Row_Labels,Average_of,Average__1,comm,industry,acres,park,acres_1,AREA,PERCENTAGE
123,142,41.874490000000002,-87.715689999999995,0,1,175.900000000000006,GARFIELD (JAMES),20.442082260049023,26.865126879695275,16.152643585492051
124,143,41.916130000000003,-87.667879999999997,0,1,2.180000000000000,WALSH (JOHN),2.180000131673291,2.880769832114923,1.730949282982434
125,143,41.916130000000003,-87.667879999999997,0,1,3.460000000000000,PARK NO. 512,3.459999630947189,4.517701591085425,2.714521737433259
126,143,41.916130000000003,-87.667879999999997,0,1,16.760000000000002,PARK NO. 572,1.105009948358056,1.274206407665095,0.765624050603267
127,144,41.686900000000001,-87.642200000000003,0,0,34.280000000000001,MAJOR TAYLOR BIKE TRAIL,3.465706786014023,4.771459940308961,2.877116765833708
128,146,41.759459999999997,-87.663640000000001,1,1,3.510000000000000,MURRAY (DAVID),2.612566487654412,3.471150492867197,2.090723383860706
129,147,41.880659999999999,-87.728110000000001,0,0,0.980000000000000,MASON (ELIZABETH),0.753806997136026,1.180165705049431,0.709506547020145
130,150,41.876510000000003,-87.656999999999996,1,1,5.850000000000000,SKINNER (MARK),0.485863465300899,0.749346898986088,0.450530403684480
131,152,41.870800000000003,-87.719669999999994,0,0,1.330000000000000,PARK NO. 500,1.330000476974383,1.759002847398480,1.057659714406696
132,152,41.870800000000003,-87.719669999999994,0,0,1.810000000000000,"BOLER (LEO ROSCOE, SR.)",1.810000632418227,2.547768781460224,1.531931802020029
133,152,41.870800000000003,-87.719669999999994,0,0,5.460000000000000,HOMAN SQUARE COMMUNITY CENTER,0.463664697242629,0.620032104947487,0.372815189021228
134,153,41.917890000000000,-87.669680000000000,1,1,3.460000000000000,PARK NO. 512,2.655752564344604,3.467600828091516,2.083497893375906
135,153,41.917890000000000,-87.669680000000000,1,1,16.760000000000002,PARK NO. 572,0.061547450782803,0.070971448066536,0.042642988586967
136,158,41.895640000000000,-87.700010000000006,1,1,210.849999999999994,HUMBOLDT (BARON VON),0.004223951728186,0.005295434900033,0.003182839437666
137,160,41.801710000000000,-87.606390000000005,1,0,3.960000000000000,HOUSTON (JESSIE ""MA""),3.960000713313491,5.369390051955414,3.231961758384425
138,160,41.801710000000000,-87.606390000000005,1,0,350.490000000000009,WASHINGTON (GEORGE),30.047116230524772,39.640372152737839,23.860469372888733
139,161,41.830350000000003,-87.677719999999994,1,1,2.380000000000000,HOYNE (THOMAS),2.379999807556004,3.192025725261019,1.920508922206952
140,162,41.866379999999999,-87.708110000000005,0,0,3.650000000000000,PARK NO. 534,0.225412616032420,0.301745376636348,0.181446930560966
141,166,41.847479999999997,-87.623670000000004,1,1,5.010000000000000,PARK NO. 540,0.366644897594026,0.493403834498500,0.296782264324895
142,167,41.875149999999998,-87.669110000000003,0,0,2.550000000000000,GARIBALDI (GIUSEPPI),0.250162575584025,0.334878806577893,0.201343663308874
143,169,41.775170000000003,-87.625180000000000,0,1,0.750000000000000,PERIWINKLE,0.750000522382586,0.664726258162883,0.400277518674499
144,170,41.877319999999997,-87.706029999999998,0,0,0.420000000000000,GLADYS (GUNDERSON),0.420000375262261,0.565434178685062,0.339952181019727
145,170,41.877319999999997,-87.706029999999998,0,0,0.860000000000000,PARK NO. 422,0.860000730674199,1.050037072536053,0.631306713347837
146,170,41.877319999999997,-87.706029999999998,0,0,3.220000000000000,HORAN (ALBERT),3.220002135050148,4.316626559785518,2.595256298548078
147,172,41.809379999999997,-87.616590000000002,1,0,0.160000000000000,BIRCH,0.096975444543291,0.131162256244140,0.078940327964778
148,174,41.891800000000003,-87.620249999999999,1,0,1.120000000000000,RIVER ESPLANADE,0.265406652743940,0.355437993514758,0.213649888337397
149,174,41.891800000000003,-87.620249999999999,1,0,1.380000000000000,OGDEN (WILLIAM) PLAZA,1.380000193334192,1.844135494773084,1.108489665500377
150,176,41.692810000000001,-87.605119999999999,0,1,1.010000000000000,PULLMAN (GEORGE),0.918141821805011,1.238285392354599,0.746599443944678
151,176,41.692810000000001,-87.605119999999999,0,1,1.190000000000000,LANGLEY,1.189299039443274,1.585798583608839,0.956125581421359
152,176,41.692810000000001,-87.605119999999999,0,1,1.220000000000000,ARCADE,1.220000483378240,1.667021022076246,1.005097028367276
153,178,41.823839999999997,-87.617000000000004,0,1,0.990000000000000,ANDERSON (LOUIS),0.482813573998938,0.656950955938300,0.395299620408759
154,179,41.946899999999999,-87.676130000000001,0,0,0.380000000000000,KLEIN (LOIS),0.380000378746586,0.526399393454204,0.316143872255346
155,180,41.877479999999998,-87.676550000000006,0,0,3.260000000000000,"TOUHY-HERBERT (JOHN, VICTOR)",3.233479288475218,4.879369831580032,2.933583448438262
156,181,41.879280000000001,-87.642570000000006,1,0,1.110000000000000,HERITAGE GREEN,1.109997729273787,1.425657790995791,0.857112728809696
157,183,41.790399999999998,-87.664490000000001,1,0,4.360000000000000,HERMITAGE,0.234468677777435,0.309398863456371,0.186266811467433
158,184,41.762230000000002,-87.605480000000000,0,0,0.250000000000000,RAILROAD JUNCTION,0.250000155202452,0.340169544192530,0.204880247454012
159,185,41.782780000000002,-87.801130000000001,0,0,8.320000000000000,VALLEY FORGE,5.976403565677669,7.994164490146330,4.813275044278755
160,186,41.909990000000001,-87.716690000000000,0,0,0.700000000000000,PARK NO. 514,0.699999984880151,0.903635195171772,0.543012812854779
161,186,41.909990000000001,-87.716690000000000,0,0,1.180000000000000,SIMONS (ALMIRA),1.179999886750651,1.577998781451429,0.948251641343464
162,186,41.909990000000001,-87.716690000000000,0,0,16.760000000000002,PARK NO. 572,0.062574089200504,0.072155282883710,0.043359580647551
163,192,41.758760000000002,-87.595730000000003,0,1,0.340000000000000,DOBSON,0.339999998053530,0.439540966360167,0.264744626400956
164,192,41.758760000000002,-87.595730000000003,0,1,1.010000000000000,ADAMS (JOHN C.),1.010000007200979,1.429092902924835,0.860772250218586
165,192,41.758760000000002,-87.595730000000003,0,1,18.890000000000001,GRAND CROSSING,0.211399536056163,0.280798635358469,0.169130833076799
166,194,41.895609999999998,-87.632689999999997,1,0,2.840000000000000,WASHINGTON SQUARE,0.238889902529328,0.320313556818905,0.192525654596065
